name	elv_m	N14_atoms_g	delN14_atoms_g	extraction_lab	t_LSDn	dNnorm_ext_LSDn
14-BTN-003-MZS	125.3	103100	1944	Tulane	8077	275
19-KP-008-BR	223	103600	1852	Tulane	7245	256
10-LAR-022-SJO	74	103700	3023	Tulane	7370	264
JJ2015-NOT-103	851.699999	105000	1690	Tulane	3264	142
19-KP-012-BR	338	105200	7378	Tulane	6261	378
14-BTN-001-MZS	125.3	106500	1597	Tulane	8439	276
10-LAR-035-DRY	159	107900	2999	Tulane	6208	242
99-MBL-020-MGM	818	108000	1680	Tulane	3658	155
10-LAR-024-SJO	39	108300	3049	Tulane	6927	256
14-TUG-010-SKB	181.2	109600	1758	Tulane	8239	274
JJ2015-KAY-103	301.818999	109800	4694	Tulane	6739	303
14-TUG-026-SKF	70.3	114100	1689	Tulane	10651	312
14-TUG-024-SKF	141.6	115000	1700	Tulane	9489	294
14-AVG-005-RDF	184.6	117100	7001	Tulane	9591	442
14-AVG-003-RDF	200.3	120200	7275	Tulane	9701	448
14-TUG-035-CCR	131.6	120600	7935	Tulane	10574	493
JJ2015-CIN-102	239	122800	2261	Tulane	8753	288
14-TUG-025-SKF	96.1	123900	1804	Tulane	12189	332
10-BDM-085-HOP	498	124400	3244	Tulane	6349	250
19-KP-011-BR	281	124777.5	2272.3	Tulane	8901	290
14-TUG-036-CCR	180.1	126000	1832	Tulane	15905	554
10-MPS-022-CSP	352.3869331	127800	2081	Tulane	8370	277
14-HAT-035-DH	813	128625.4843	2415.678993	Tulane	4611	189
19-KP-006-BR	181	130159.1698	2279.791997	Tulane	11617	331
14-TUG-013-SKF	64.4	131600	1898	Tulane	14886	359
14-AVG-004-RDF-A	242.6	133700	7878	Tulane	11326	477
14-AVG-004-RDF-B	242.6	134200	7873	Tulane	11085	471
14-TUG-036-CCR	180.1	134800	2298	Tulane	15905	554
14-TUG-014-SKF	64.1	136900	1960	Tulane	17181	376
J2018-F008	126	137000	4600	Korea University	15906	425
JJ2015-TUR-132	446	139000	2400	Tulane	7839	268
14-TUG-011-SKB	326.4	139300	2105	Tulane	10254	307
14-TUG-020-SKF	164.9	140500	2002	Tulane	13954	350
99-MBL-031-MGM	965	144100	25770	Tulane	6615	236
14-TUG-021-SKF	143.3	144600	2811	Tulane	17301	389
10-MPS-039-NNS	550.5810185	149000	2488	Tulane	0	126
J2018-F014	118	149200	4400	Korea University	22456	448
14-TUG-036-CCR	180.1	149400	9039	Tulane	15905	554
14-TUG-038-CCR	298.5	150000	2150	Tulane	15012	538
JJ2011-P11-13-3	710	150800	2493	Tulane	6714	242
JJ2015-NOT-107	884.842999	151000	2560	Tulane	5110	201
14-TUG-037-CCR	274.6	152300	9137	Tulane	13711	523
CF_44_08	474	152500	2528	Tulane	9250	293
10-MPS-043-NNS	416.9390688	153600	2519	Tulane	10421	312
14-TUG-022-SKF	173	155000	2892	Tulane	20153	403
JJ2011-P11-12-1	800	155100	2537	Tulane	5993	224
JS2017-UW-03	428	155798.8745	7536.8245	Tulane	9940	402
CF_143_08	308	155900	2545	Tulane	13262	347
14-TUG-019-SKF	158	157700	2949	Tulane	20962	406
14-TUG-038-CCR	298.5	161100	9574	Tulane	15012	538
JJ2011-P11-13-6	795	164400	2637	Tulane	6712	241
99-MBL-020-MGM	818	169100	3511	Tulane	3658	155
14-TUG-038-CCR	298.5	170300	2575	Tulane	15012	538
CF_104_08	380	170400	2720	Tulane	14114	355
J2018-F013	96	171600	6500	Korea University	0	341
JJ2011-P11-13-5	768	173200	3077	Tulane	7349	258
14-TUG-038-CCR	298.5	174400	2427	Tulane	15012	538
FM-NMas-23-6	642	175000	17000	SUERC	10930	662
CF_108_08	339	176200	2775	Tulane	17692	382
JJ2011-P11-12-2	830	176700	2785	Tulane	7178	252
JJ2011-P11-12-6	875	177400	3398	Tulane	6629	244
JS2010-R9-7-2	477	177421	8283	LDEO	13169	451
10-MPS-013-NNS	719.2070054	178200	3399	Tulane	33388	422
01-MBL-079-MCG	926	180000	2510	Tulane	6445	232
14-TUG-023-SKF	153.1	180800	2493	Tulane	0	123
10-BDM-067-HOP	619	181000	2610	Tulane	10489	309
10-MPS-038-NNS	550.5810185	184600	2859	Tulane	12037	332
01-MBL-144-REA	685	184800	5251	Tulane	9706	328
A2020-UTSTE-3	1333	185682	3332	ETH	4242	176
CF_36_08	576	189400	2926	Tulane	11929	330
FM-NMas-20-7	635	190000	19000	SUERC	11442	693
CF_147_08	284	191800	3054	Tulane	0	132
14-HAT-039-DH	1135	192000	6730	Tulane	5429	243
SB2019-LD-19-C2	25.7	192023.2353	4259.106409	Tulane	0	231
CF_120_08	808	193000	3599	Tulane	8367	281
A2020-UTSTE-1	1336	198185	3794	ETH	4599	189
JS2010-R9-7-1	478	199797	8274	LDEO	20621	492
CF_119_08	825	200100	3061	Tulane	8822	284
JJ2015-TUR-138	563	203444	8386	LDEO	13996	437
14-TUG-041-SKB	389.6	204700	3108	Tulane	35961	426
14-TUG-040-SKB	516.9	206300	3118	Tulane	17609	380
10-MPS-013-NNS	719.2070054	208300	2834	Tulane	33388	422
